"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"52","Prion disease","14/273",0.0237263411608641,0.133688806925638,0,0,1.88119880315888,7.03788341020098,"C1QB;RYR2;C1QA;NCF2;PIK3CD;SDHC;C8B;C8A;SDHB;PSMB4;NDUFS2;CACNA1S;PRKACB;C1QC"
"53","Notch signaling pathway","5/59",0.0253342413947263,0.137461717197311,0,0,3.20453042328042,11.7785668436145,"NOTCH2;NCSTN;HDAC1;DVL1;PSEN2"
"54","VEGF signaling pathway","5/59",0.0253342413947263,0.137461717197311,0,0,3.20453042328042,11.7785668436145,"CDC42;NRAS;AKT3;PIK3CD;PLA2G4A"
"55","Mannose type O-glycan biosynthesis","3/23",0.026094031263146,0.13901002109276,0,0,5.18193950177936,18.8936036701572,"B3GALNT2;POMGNT1;ST3GAL3"
"56","Purine metabolism","8/129",0.0301390958778287,0.156837098881671,0,0,2.29256495096221,8.02840675562944,"ADCY10;PKLR;GUK1;AK2;PRUNE1;AMPD1;AMPD2;PGM1"
"57","Synthesis and degradation of ketone bodies","2/10",0.0308476566920196,0.156837098881671,0,0,8.6265541740675,30.0091464698664,"HMGCL;HMGCS2"
"58","mTOR signaling pathway","9/154",0.0310462516557573,0.156837098881671,0,0,2.15343587199206,7.47732627462066,"NRAS;WNT2B;RRAGC;AKT3;DVL1;PIK3CD;LAMTOR2;MTOR;WNT4"
"59","Th17 cell differentiation","7/107",0.0320901297639459,0.159362847810782,0,0,2.4255376344086,8.34192547769013,"LCK;IL23R;RORC;CD247;IL6R;MTOR;JAK1"
"60","Ras signaling pathway","12/232",0.0326844701638233,0.159609162633337,0,0,1.89528193325662,6.4834851183033,"CDC42;NTRK1;NRAS;AKT3;GNB1;PIK3CD;PLA2G4A;FASLG;PLA2G5;NGF;PRKACB;EPHA2"
"61","HIF-1 signaling pathway","7/109",0.034980197475739,0.168019637055599,0,0,2.3777320964228,7.97247191052921,"EGLN1;AKT3;NPPA;SLC2A1;PIK3CD;IL6R;MTOR"
"62","Cortisol synthesis and secretion","5/65",0.0364944886707061,0.172465890008337,0,0,2.88318452380952,9.54505345783578,"HSD3B2;CACNA1S;PRKACB;AGT;PBX1"
"63","Toxoplasmosis","7/112",0.0396302126750139,0.178511343944359,0,0,2.30943847072879,7.45524498889306,"IL10;TGFB2;LAMB3;AKT3;GNAI3;LAMC2;JAK1"
"64","Fatty acid elongation","3/27",0.039684570135364,0.178511343944359,0,0,4.31739323843416,13.9313335392277,"ELOVL1;MECR;PPT1"
"65","GABAergic synapse","6/89",0.0402111418513167,0.178511343944359,0,0,2.50257559756019,8.04230487226267,"GNB1;GNAI3;CACNA1S;GLUL;PRKACB;GABRD"
"66","Type II diabetes mellitus","4/46",0.0404228677434806,0.178511343944359,0,0,3.2922502334267,10.5627227108148,"PKLR;PIK3CD;CACNA1E;MTOR"
"67","Yersinia infection","8/137",0.0408200001510991,0.178511343944359,0,0,2.14949967294337,6.87535336580575,"IL10;CDC42;FCGR2A;LCK;AKT3;NLRP3;PIP5K1A;PIK3CD"
"68","Carbohydrate digestion and absorption","4/47",0.0432339038412481,0.186152770087166,0,0,3.21552045765452,10.1003686767692,"AKT3;PIK3CD;ATP1A2;ATP1A1"
"69","Measles","8/139",0.0438380243549982,0.186152770087166,0,0,2.11646360683597,6.61871865016139,"AKT3;PIK3CD;ADAR;FASLG;CD46;FCGR2B;TP73;JAK1"
"70","PI3K-Akt signaling pathway","16/354",0.0447851982993593,0.187458044310175,0,0,1.64663023679417,5.11423195025241,"NTRK1;CSF3R;LAMB3;PIK3CD;FASLG;LAMC2;NGF;MTOR;NRAS;AKT3;GNB1;TNR;COL9A2;IL6R;EPHA2;JAK1"
"71","Valine, leucine and isoleucine degradation","4/48",0.0461521778342393,0.190450131573164,0,0,3.14227839896289,9.66505486933569,"HMGCL;DBT;ACADM;HMGCS2"
"72","Human T-cell leukemia virus 1 infection","11/219",0.0473397999238971,0.190450131573164,0,0,1.83540162454874,5.59871627592056,"CDC20;FDPS;NRAS;TGFB2;CDKN2C;LCK;AKT3;SLC2A1;PIK3CD;PRKACB;JAK1"
"73","cGMP-PKG signaling pathway","9/167",0.0479390458703671,0.190450131573164,0,0,1.97492259357071,5.99946913450452,"RGS2;AKT3;NPPA;ADORA1;GNAI3;ATP2B4;ATP1A2;CACNA1S;ATP1A1"
"74","Salivary secretion","6/93",0.0481000332300823,0.190450131573164,0,0,2.38702115847264,7.24334984989802,"CHRM3;ATP2B4;ATP1A2;ATP1A1;PRKACB;SLC9A1"
"75","Hepatocellular carcinoma","9/168",0.0494484987648464,0.19158342227039,0,0,1.96239989140763,5.90059026691796,"TGFB2;NRAS;WNT2B;AKT3;DVL1;PIK3CD;ARID1A;MTOR;WNT4"
"76","Signaling pathways regulating pluripotency of stem cells","8/143",0.0503063937547176,0.19158342227039,0,0,2.05332801383071,6.13867685696335,"NRAS;WNT2B;AKT3;DVL1;PIK3CD;LEFTY2;WNT4;JAK1"
"77","Pathways of neurodegeneration","20/475",0.0504536271178933,0.19158342227039,0,0,1.5307994757536,4.57203977312857,"CHRM3;RYR2;WNT2B;DNAH14;PSEN2;FASLG;SDHC;PARK7;SDHB;MTOR;NRAS;PSMB4;PINK1;DVL1;MFN2;NDUFS2;CACNA1S;TARDBP;ATF6;WNT4"
"78","Citrate cycle (TCA cycle)","3/30",0.0517969626393583,0.19158342227039,0,0,3.83708975879794,11.3594117209037,"FH;SDHC;SDHB"
"79","Malaria","4/50",0.0523094668315057,0.19158342227039,0,0,3.00534759358289,8.86751223390637,"IL10;SELP;TGFB2;CR1"
"80","N-Glycan biosynthesis","4/50",0.0523094668315057,0.19158342227039,0,0,3.00534759358289,8.86751223390637,"DPM3;ALG6;ALG14;DDOST"
"81","Human cytomegalovirus infection","11/225",0.0554113432753964,0.198113867608418,0,0,1.78338506697257,5.159281198414,"NRAS;AKT3;GNB1;TRAF5;GNAI3;PIK3CD;FASLG;PRKACB;IL6R;MTOR;JAK1"
"82","Inositol phosphate metabolism","5/73",0.0554448366685675,0.198113867608418,0,0,2.54293592436975,7.35510315332044,"ITPKB;INPP5B;PIK3CD;PIP5K1A;PIK3C2B"
"83","Breast cancer","8/147",0.0573622919553138,0.20119521140381,0,0,1.99382612401999,5.6990890419024,"NOTCH2;NRAS;WNT2B;AKT3;DVL1;PIK3CD;MTOR;WNT4"
"84","PPAR signaling pathway","5/74",0.0581468395251541,0.20119521140381,0,0,2.50595238095238,7.12889261631527,"CPT2;SCP2;APOA2;ACADM;HMGCS2"
